CUSTOMER_SK,TOTAL_No_Of_PURCHASE,TOTAL_REVENUE,RECENCY,TOTAL_No_of_VISITS,DISTINCT_PRODUCTS,AVERAGE_SPEND,CITY_NM
22642065,782,2677.73959,247,21,294,127.511409,HALIFAX
58237558,703,2675.65963,113,25,266,107.0263852,BEDFORD
22562109,878,2672.90979,255,25,491,106.9163916,HALIFAX
61373866,728,2671.21976,109,87,232,30.7036754,HALIFAX
58341594,646,2670.44962,112,60,274,44.50749367,HALIFAX
59531190,859,2664.30963,117,46,301,57.91977457,HALIFAX
59427703,1048,2662.05978,109,127,316,20.96110063,HALIFAX
22114791,781,2648.40958,243,100,334,26.4840958,HALIFAX
58474854,653,2647.79949,110,61,280,43.40654902,HALIFAX
21272846,667,2645.62964,262,11,365,240.5117855,CHESTER
59829841,858,2641.21969,114,23,289,114.8356387,HALIFAX
40047305,717,2639.64956,242,38,391,69.46446211,HALIFAX
58890296,685,2632.40934,118,23,268,114.45258,HALIFAX
21452032,689,2629.85929,244,17,259,154.6976053,HALIFAX
62344524,729,2622.39962,109,72,222,36.42221694,HALIFAX
22540295,791,2617.96988,242,88,319,29.74965773,HALIFAX
59618289,747,2605.51972,110,58,264,44.92275379,HALIFAX
58327318,687,2605.3896,109,35,390,74.43970286,FREDERICTO
22114425,969,2600.25959,242,171,406,15.20619643,HALIFAX
62430433,717,2595.31969,114,33,227,78.64605121,HALIFAX
59003863,825,2585.56962,111,119,178,21.7274758,HALIFAX
20666033,700,2585.48941,243,52,312,49.72095019,HALIFAX
59487318,699,2583.51979,111,31,313,83.33934806,HALIFAX
20759298,697,2576.73964,243,50,318,51.5347928,HALIFAX
59077043,842,2572.73969,109,104,429,24.73788163,HALIFAX
22760738,694,2572.73952,244,66,169,38.98090182,HALIFAX
59751318,738,2568.27979,109,51,345,50.35842725,HALIFAX
60637096,692,2565.28978,115,26,315,98.66499154,DARTMOUTH
22114125,911,2545.44984,242,110,329,23.14045309,HALIFAX
60349370,751,2542.61947,109,43,265,59.13068535,HALIFAX
58642186,767,2541.17958,112,31,282,81.97353484,HALIFAX
59077582,681,2540.81964,110,40,289,63.520491,HALIFAX
51829265,666,2534.46967,244,21,250,120.6890319,BEDFORD
59564896,807,2524.69944,109,35,302,72.13426971,HALIFAX
21656683,697,2524.20972,244,35,337,72.12027771,HALIFAX
58234395,848,2520.29971,109,38,316,66.32367658,HALIFAX
60484821,674,2514.23962,109,51,382,49.29881608,HALIFAX
61813890,627,2508.37952,117,12,290,209.0316267,HALIFAX
23625408,628,2505.36957,242,26,406,96.36036808,HALIFAX
22300853,700,2491.29994,242,65,357,38.32769138,CHARLOTTET
59921275,732,2490.65952,110,38,288,65.54367158,HALIFAX
58358415,676,2487.57993,117,19,325,130.9252595,HALIFAX
21388456,812,2482.08926,243,46,227,53.95846217,HALIFAX
20698259,734,2480.31958,242,34,353,72.95057588,HALIFAX
60326154,660,2477.96968,109,38,275,65.20972842,HALIFAX
34438715,654,2474.28981,242,71,224,34.84915225,HALIFAX
59500430,571,2467.38939,110,64,310,38.55295922,HALIFAX
60623136,849,2461.51971,111,41,232,60.0370661,HALIFAX
33444987,740,2460.26976,242,61,357,40.33229115,NEW WATERF
21123450,933,2459.53976,242,44,382,55.89863091,HALIFAX
64921775,639,2458.75934,109,32,368,76.83622938,HALIFAX
58836509,840,2457.99921,110,40,238,61.44998025,HALIFAX
59427920,1072,2454.54963,109,60,435,40.9091605,HALIFAX
21476196,648,2453.77947,249,40,304,61.34448675,HALIFAX
58501745,829,2450.03959,110,77,396,31.81869597,HALIFAX
23743254,661,2444.9698,246,20,321,122.24849,DARTMOUTH
21569991,581,2441.55955,249,20,401,122.0779775,HALIFAX
23278412,804,2439.26978,244,19,338,128.38262,HALIFAX
21619730,612,2434.87948,243,28,372,86.95998143,HALIFAX
20688412,677,2433.8296,242,54,242,45.07091852,HALIFAX
20718561,774,2428.66969,243,37,276,65.63972135,HALIFAX
59503350,739,2427.1097,112,66,285,36.77438939,HALIFAX
60641249,619,2426.99948,111,34,236,71.38233765,HALIFAX
62319212,659,2424.04957,115,18,226,134.6694206,HALIFAX
58896056,594,2413.92965,109,56,353,43.10588661,HALIFAX
60298425,816,2413.9098,111,23,339,104.9526,HALIFAX
40035819,607,2411.08936,244,12,256,200.9241133,HALIFAX
36791222,658,2409.63962,245,27,319,89.24591185,HALIFAX
38981350,622,2401.79969,244,24,237,100.0749871,HALIFAX
59035790,635,2400.44978,109,68,339,35.30073206,HALIFAX
22242219,721,2386.71964,245,57,275,41.87227439,HALIFAX
21635263,637,2366.0896,245,46,305,51.43673043,HALIFAX
22981918,679,2362.53979,251,31,244,76.21096097,HALIFAX
34920290,601,2356.36926,112,86,256,27.39964256,HALIFAX
39630131,839,2348.75978,250,58,327,40.49585828,HALIFAX
34917312,669,2342.35967,242,35,335,66.924562,HALIFAX
58650481,653,2340.74955,110,42,283,55.73213214,HALIFAX
21688304,826,2338.84975,244,88,395,26.57783807,HALIFAX
58983522,657,2333.06964,110,60,353,38.884494,HALIFAX
21015957,572,2327.1393,244,10,335,232.71393,HALIFAX
59618282,631,2323.92988,111,18,311,129.1072156,HALIFAX
22848790,624,2322.38966,242,55,282,42.22526655,HALIFAX
25763791,575,2321.49952,247,45,356,51.58887822,HALIFAX
51288842,592,2318.01977,245,62,364,37.38741565,HALIFAX
59567857,641,2316.59941,112,44,149,52.64998659,HALIFAX
61786992,858,2312.64949,110,94,144,24.60265415,GUYSBOROUG
28665932,628,2310.46969,242,37,270,62.44512676,PETITE RIV
21155118,710,2304.19979,242,117,260,19.6940153,HALIFAX
58258258,649,2303.86959,111,65,244,35.44414754,HALIFAX
53712438,600,2302.37954,243,29,324,79.39239793,
58338206,642,2299.45981,110,30,339,76.64866033,HALIFAX
59609429,566,2296.92956,114,56,218,41.01659929,HALIFAX
40173104,469,2295.53955,244,18,149,127.529975,HALIFAX
59080575,631,2294.09965,109,67,297,34.24029328,HALIFAX
22746387,511,2291.31962,243,34,259,67.39175353,BEDFORD
60915693,623,2282.97963,110,38,361,60.07841132,MOUNT UNIA
28181258,744,2282.96981,242,57,341,40.05210193,HALIFAX
60674740,649,2282.62968,112,27,205,84.54184,HALIFAX
62370973,665,2277.74961,112,36,293,63.2708225,HALIFAX
20771796,598,2276.27961,242,35,340,65.03656029,FREDERICTO
59984800,613,2267.4397,109,80,234,28.34299625,HALIFAX
58304871,698,2261.93953,109,58,292,38.99895741,HALIFAX
60451034,642,2253.06964,111,30,200,75.10232133,HALIFAX
39307935,614,2250.92947,242,16,298,140.6830919,HALIFAX
58997375,611,2249.86968,110,47,298,47.86956766,HALIFAX
22211953,628,2247.36965,246,66,281,34.0510553,HALIFAX
59016692,622,2244.75961,111,53,300,42.35395491,HALIFAX
58910536,642,2243.34968,111,30,301,74.77832267,HALIFAX
22114727,648,2243.28965,242,19,353,118.0678763,HALIFAX
60616860,643,2237.98968,109,19,291,117.7889305,HALIFAX
22208939,618,2225.12967,243,28,265,79.46891679,HALIFAX
62396030,605,2224.42963,109,42,292,52.96261024,HALIFAX
21432198,549,2224.25966,242,60,242,37.07099433,HALIFAX
37702347,639,2220.49971,242,56,258,39.65178054,HALIFAX
22284372,751,2220.48943,248,25,266,88.8195772,HALIFAX
39649111,573,2219.56973,246,25,395,88.7827892,HALIFAX
58870891,797,2219.11995,110,130,401,17.07015346,HALIFAX
53325366,751,2218.2997,248,42,303,52.81665952,EAST YORK
58353292,614,2211.31982,111,52,209,42.52538115,HALIFAX
59087787,571,2206.89943,115,32,251,68.96560719,HALIFAX
61353661,918,2199.26975,109,59,235,37.27575847,HALIFAX
59981468,622,2197.49976,110,96,251,22.8906225,HALIFAX
20788623,584,2196.19965,244,41,230,53.56584512,HALIFAX
60549933,763,2191.94958,120,39,300,56.20383538,HALIFAX
37143504,605,2190.39973,243,21,157,104.304749,DARTMOUTH
39745841,583,2186.4498,248,24,179,91.102075,HALIFAX
59026858,568,2181.84958,109,33,387,66.11665394,HALIFAX
58872376,625,2178.10962,110,51,281,42.70803176,HALIFAX
59567703,1105,2177.24989,109,120,270,18.14374908,HALIFAX
21384385,509,2175.34968,252,21,275,103.58808,HALIFAX
58642267,635,2174.98975,111,119,246,18.27722479,HALIFAX
31829264,953,2173.32875,242,27,194,80.49365741,HALIFAX
58889707,574,2172.8294,114,23,177,94.47084348,HALIFAX
59427891,554,2160.71949,110,42,208,51.44570214,HALIFAX
58246473,551,2158.97971,109,10,321,215.897971,HALIFAX
20697030,574,2153.50957,244,23,272,93.63085087,HALIFAX
23352695,652,2152.05971,243,44,253,48.91044795,HALIFAX
20660110,746,2146.77983,242,34,297,63.14058324,HALIFAX
58528520,564,2145.34934,123,19,302,112.9131232,HALIFAX
23717387,542,2143.3095,243,52,134,41.21749038,HALIFAX
59504641,622,2140.88968,110,33,273,64.87544485,HALIFAX
59003455,504,2138.05955,111,35,265,61.08741571,HALIFAX
22351989,632,2133.17976,246,31,214,68.81225032,HALIFAX
35094805,743,2132.28998,109,89,410,23.95831438,CORNER BRO
59428206,660,2129.24954,109,90,285,23.65832822,HALIFAX
37632766,519,2124.48958,244,22,273,96.56770818,HALIFAX
20846015,590,2124.12972,249,15,370,141.608648,SUTTON WES
39617406,520,2123.03972,248,11,302,193.0036109,HALIFAX
21155028,688,2122.70964,245,26,276,81.64267846,HALIFAX
23748348,624,2117.04985,245,61,326,34.70573525,HALIFAX
23777359,580,2116.86931,243,10,203,211.686931,NEPEAN
61809069,615,2111.75974,109,52,84,40.61076423,HALIFAX
60615674,819,2106.9599,109,145,362,14.53075793,HALIFAX
39356029,640,2103.2996,246,38,272,55.34998947,HALIFAX
40167740,580,2102.34953,244,21,238,100.1118824,HALIFAX
21431603,573,2100.85959,244,45,280,46.68576867,HALIFAX
58489862,572,2099.98957,117,28,323,74.9996275,HALIFAX
58380722,691,2098.27994,113,24,327,87.42833083,LAWRENCETO
22473505,496,2088.98949,242,86,199,24.29057547,HALIFAX
58872751,599,2086.3298,109,72,290,28.97680278,HALIFAX
59646387,591,2085.42972,120,16,325,130.3393575,HALIFAX
59428165,623,2083.78967,114,29,317,71.85481621,HALIFAX
40046066,602,2082.38989,243,27,266,77.12555148,WELLAND
59485466,630,2082.28974,109,42,194,49.57832714,HERRING CO
20784710,554,2082.02967,249,21,297,99.14427,HALIFAX
59578253,691,2078.24983,112,31,368,67.0403171,HALIFAX
58880483,559,2077.83976,119,26,318,79.91691385,HALIFAX
38864422,804,2075.25973,244,102,426,20.34568363,HALIFAX
20802419,568,2068.28981,243,48,193,43.08937104,HALIFAX
59618368,504,2067.96962,119,23,236,89.91172261,HALIFAX
59504650,734,2067.51956,114,40,257,51.687989,HALIFAX
60984659,537,2067.16968,110,38,376,54.39920211,HALIFAX
58358135,492,2067.02949,109,52,247,39.75056712,HALIFAX
22203725,494,2066.55952,242,67,258,30.84417194,HALIFAX
22288611,607,2066.22952,242,79,187,26.15480405,HALIFAX
23182448,567,2066.12975,244,33,245,62.60999242,HALIFAX
22114222,621,2064.06968,242,27,344,76.44702519,HALIFAX
40173100,557,2063.21979,244,21,307,98.24856143,HALIFAX
60524342,611,2061.92975,110,63,169,32.72904365,HALIFAX
22113293,746,2061.81968,244,111,248,18.57495207,HATCHET LA
59830917,505,2060.93951,109,49,198,42.05999,HALIFAX
22288083,651,2060.42972,243,65,289,31.69891877,HALIFAX
22208951,749,2059.65955,243,38,292,54.20156711,HALIFAX
59027377,562,2057.60969,111,36,339,57.15582472,HALIFAX
20968252,613,2056.60982,242,22,337,93.48226455,HALIFAX
29926497,660,2054.97978,248,34,387,60.44058176,HALIFAX
22843658,526,2053.63974,251,79,241,25.99543975,HALIFAX
59427889,736,2051.18996,109,91,309,22.54054901,HALIFAX
36352584,751,2048.58988,242,108,377,18.96842481,HALIFAX
51032169,527,2041.00958,244,30,185,68.03365267,HALIFAX
22208959,633,2040.50955,247,18,260,113.3616417,HALIFAX
38981467,590,2035.17969,242,58,254,35.089305,HALIFAX
28665663,642,2034.06963,243,39,278,52.15563154,HALIFAX
58645614,667,2033.75965,109,97,276,20.96659433,HALIFAX
59427035,751,2031.68961,109,115,242,17.66686617,HATCHET LA
22288093,566,2031.5495,246,27,129,75.24257407,HALIFAX
59579353,606,2030.15982,109,54,229,37.59555222,HALIFAX
23791664,579,2029.88962,245,31,186,65.48031032,HALIFAX
59427924,841,2028.75982,109,187,329,10.84898299,HALIFAX
58425257,527,2028.07953,112,41,254,49.46535439,HALIFAX
22114378,710,2025.28988,242,86,293,23.54988233,HALIFAX
59567717,475,2022.2295,112,26,237,77.77805769,HALIFAX
58337779,515,2021.66968,113,9,290,224.6299644,HALIFAX
62615702,805,2019.07949,109,48,257,42.06415604,HALIFAX
39450222,488,2018.90964,250,56,255,36.05195786,DARTMOUTH
20784444,573,2012.9297,244,14,253,143.7806929,HALIFAX
59086636,606,2012.08988,111,92,267,21.87054217,HALIFAX
22131525,782,2010.17992,242,101,290,19.90277149,HALIFAX
39622051,516,2010.05965,111,34,220,59.11940147,HALIFAX
60547813,515,2007.20969,114,34,264,59.03557912,HALIFAX
22318684,547,2004.51962,242,90,309,22.27244022,HALIFAX
36785532,617,2003.26982,118,93,451,21.5405357,HALIFAX
20799844,688,2002.63991,243,29,232,69.05654862,HALIFAX
37057354,489,2000.39984,242,40,211,50.009996,HALIFAX
60613178,530,1999.46948,110,50,128,39.9893896,HALIFAX
59651716,630,1996.03989,109,59,296,33.83118458,HALIFAX
20789485,507,1992.07928,260,20,198,99.603964,HALIFAX
59504655,566,1989.7696,113,19,250,104.7247158,HALIFAX
58872306,520,1989.34952,110,46,251,43.2467287,HALIFAX
65310916,579,1985.7497,111,125,213,15.8859976,HALIFAX
62374273,504,1984.58964,143,67,258,29.6207409,OAKVILLE
22207323,588,1974.25987,243,43,225,45.91302023,HALIFAX
52634309,585,1969.35983,249,26,383,75.74460885,HALIFAX
58833348,572,1967.87977,111,52,149,37.84384173,HALIFAX
21441097,646,1967.23976,246,51,251,38.57332863,CHESTER
58502082,662,1963.28978,109,91,256,21.57461297,HALIFAX
58872897,497,1961.76971,109,59,218,33.25033407,HALIFAX
21577503,507,1961.56969,256,39,283,50.29665872,HALIFAX
40052217,487,1960.90977,243,74,246,26.49878068,HALIFAX
58428440,546,1958.79955,119,19,267,103.0947132,ST. JOHN'S
61978529,610,1958.16001,115,33,281,59.33818212,HALIFAX
22284349,529,1957.84975,251,22,328,88.99317045,HALIFAX
39356203,851,1956.32998,220,101,460,19.36960376,HALIFAX
39819616,519,1946.03968,248,16,266,121.62748,HALIFAX
21692464,501,1944.96971,242,29,240,67.06792103,HALIFAX
22351981,525,1944.87994,244,14,249,138.9199957,HALIFAX
59914051,758,1944.66995,109,114,251,17.05850833,HALIFAX
59428166,542,1943.70974,113,38,322,51.15025632,HALIFAX
21161644,610,1942.81971,244,31,286,62.67160355,HALIFAX
21232652,493,1941.71978,245,27,93,71.91554741,CALGARY
21273617,1521,1941.63828,242,18,59,107.8687933,BEAVER BAN
59489003,517,1940.91958,109,36,271,53.91443278,HALIFAX
22964956,650,1936.13953,246,30,281,64.53798433,DARTMOUTH
59041668,691,1934.81986,109,242,320,7.995123388,HALIFAX
20947933,468,1932.35975,244,30,282,64.41199167,BURLINGTON
20755175,671,1931.01992,243,34,178,56.79470353,HALIFAX
21127061,542,1930.14972,245,47,284,41.06701532,HALIFAX
62512800,542,1928.53975,110,44,159,43.83044886,LONDON
22301205,559,1926.15977,246,18,277,107.0088761,HALIFAX
22114381,526,1923.5196,242,34,195,56.57410588,HALIFAX
22985887,438,1921.79963,255,23,240,83.55650565,HALIFAX
62339574,482,1916.36963,111,87,281,22.02723713,HALIFAX
21432110,539,1916.24965,242,31,296,61.81450484,HALIFAX
35076749,591,1910.26981,243,43,218,44.4248793,HALIFAX
58833257,491,1909.06978,113,18,281,106.0594322,HALIFAX
58741080,550,1906.10989,112,25,294,76.2443956,HALIFAX
58895440,576,1905.4597,112,37,237,51.49891081,HALIFAX
63944816,710,1902.26988,109,77,395,24.70480364,HALIFAX
60228583,599,1899.3999,110,52,358,36.52692115,SYDNEY
21688941,519,1897.3897,252,26,261,72.97652692,HALIFAX
28172236,524,1896.65959,244,43,271,44.10836256,HALIFAX
20783969,508,1895.84979,246,15,262,126.389986,HALIFAX
58313027,698,1894.87989,110,36,171,52.6355525,HALIFAX
59026928,692,1891.80988,109,76,371,24.89223526,HALIFAX
64151004,439,1890.23946,109,24,197,78.7599775,HALIFAX
59772586,660,1887.77952,109,70,127,26.96827886,HALIFAX
21699909,585,1886.6699,244,81,244,23.29222099,HALIFAX
21384489,528,1884.8998,244,39,147,48.3307641,HALIFAX
58614163,730,1883.70981,110,43,299,43.80720488,HALIFAX
59809290,555,1880.23993,110,66,300,28.48848379,HALIFAX
22615697,595,1880.1499,243,52,320,36.15672885,HALIFAX
37383984,613,1879.90985,245,64,305,29.37359141,GLEN HAVEN
59567850,580,1879.7699,109,67,269,28.05626716,HALIFAX
58755459,418,1879.25961,122,25,195,75.1703844,HALIFAX
58730772,524,1878.14964,112,23,316,81.65868,HALIFAX
53130748,594,1877.8198,110,32,364,58.68186875,HALIFAX
58232219,555,1875.88953,109,72,221,26.05402125,HALIFAX
60299979,453,1872.5397,109,42,232,44.58427857,HALIFAX
60997170,481,1872.23974,111,42,254,44.57713667,HALIFAX
21429920,632,1871.36994,242,93,342,20.12225742,HALIFAX
40174216,508,1869.31977,242,47,166,39.77276106,HALIFAX
51843234,511,1868.17963,243,34,239,54.94645971,HALIFAX
21167621,546,1867.49974,244,33,348,56.59090121,HALIFAX
58910528,494,1866.00983,110,55,176,33.92745145,HALIFAX
21270530,558,1865.79991,244,22,303,84.80908682,HALIFAX
61807629,506,1865.32964,113,32,205,58.29155125,HALIFAX
20732494,566,1864.92978,245,31,279,60.15902516,FREDERICTO
31919946,572,1864.67968,252,40,153,46.616992,HALIFAX
61872196,451,1864.60964,111,24,263,77.69206833,HALIFAX
58890024,531,1861.3797,113,27,266,68.93998889,HALIFAX
28310674,718,1856.41987,242,63,232,29.46698206,HALIFAX
62520084,435,1854.3098,109,87,215,21.31390575,HALIFAX
59012917,553,1853.75978,112,74,243,25.05080784,HALIFAX
52997126,642,1852.48991,244,107,374,17.31298981,HALIFAX
22752008,775,1851.8399,242,103,241,17.97902816,HALIFAX
59744561,593,1851.65983,109,58,314,31.92516948,HALIFAX
22114746,503,1848.20986,247,24,317,77.00874417,HALIFAX
60007125,628,1846.56987,110,150,163,12.3104658,HALIFAX
61453445,651,1846.35973,110,25,197,73.8543892,
22185191,550,1846.00982,244,37,172,49.8921573,HERRING CO
59810692,646,1844.92978,115,44,245,41.93022227,DARTMOUTH
38875516,553,1844.33974,245,23,233,80.18868435,HALIFAX
52884223,592,1843.69997,250,28,262,65.8464275,TORONTO
58647934,592,1843.43975,111,28,278,65.83713393,HALIFAX
58639014,572,1843.27984,111,33,311,55.85696485,HALIFAX
39425711,504,1840.24975,243,77,286,23.8993474,HALIFAX
21329954,411,1839.08971,243,22,244,83.59498682,HALIFAX
22211615,521,1836.27957,244,39,193,47.08409154,HALIFAX
59019400,516,1834.25981,109,85,289,21.57952718,HALIFAX
